plate,well,gene,p,genenorm,kinasenorm,pnorm,pvalpos,magratio
NCIDIV_4865,A01,HCoV-NL63-3CL,1.0,0.3706333635523139,1.0,2.6980841401204634,6.192867082846365e-06,-0.0827662308696788
NCIDIV_4865,A01,HCoV-NL63-PLP2,1.0,0.09247286887405547,1.0,10.813982654328179,6.192867082846365e-06,-0.19853382855308874
NCIDIV_4865,A01,HCoV-OC43-3CL,1.0,0.22057033542736978,1.0,4.53370122533673,6.192867082846365e-06,-0.12604440345223963
NCIDIV_4865,A01,HHV-3,1.0,0.1710522748321196,1.0,5.846166038899259,6.192867082846365e-06,-0.14724562359940205
NCIDIV_4865,A01,HIV-1,1.0,0.1610852094264939,1.0,6.20789458920695,6.192867082846365e-06,-0.15225189209368317
NCIDIV_4865,A01,HIV-2,1.0,0.07184034569607708,1.0,13.919754844033358,6.192867082846365e-06,-0.21958675464489494
NCIDIV_4865,A01,HPeV,1.0,0.300042662473468,1.0,3.332859373251387,6.192867082846365e-06,-0.10038520038555174
NCIDIV_4865,A01,HRV-B14,0.19322743050199942,0.11545090349519566,1.0,1.673676209125902,6.192867082846365e-06,-0.042946773076630675
NCIDIV_4865,A01,HTLV,1.0,0.17018442238086648,1.0,5.875978459191974,6.192867082846365e-06,-0.1476697793957664
NCIDIV_4865,A01,KUNV,1.0,0.21165065632784957,1.0,4.724766827327893,6.192867082846365e-06,-0.1294866291596755
NCIDIV_4865,A01,LGTV,1.0,0.03594006874424576,1.0,27.824098142831364,6.192867082846365e-06,-0.27734083656795505
NCIDIV_4865,A01,LV,1.0,0.22479946353069974,1.0,4.4484091923263644,6.192867082846365e-06,-0.1244606869723714
NCIDIV_4865,A01,MERS-CoV-3CL,1.0,0.11600675165855476,1.0,8.620187926159007,6.192867082846365e-06,-0.17962697596515392
NCIDIV_4865,A01,MERS-CoV-PLP,1.0,0.42029418668720686,1.0,2.379285823299346,6.192867082846365e-06,-0.07228087426036524
NCIDIV_4865,A01,NWV,1.0,0.24034415636788722,1.0,4.160700285424587,6.192867082846365e-06,-0.11888509301334091
