plate,well,src,id
NCIDIV_4866,G02,NSC,144958
NCIDIV_4866,H02,NSC,144982
NCIDIV_4866,A03,NSC,149046
NCIDIV_4866,B03,NSC,149286
NCIDIV_4866,C03,NSC,150954
NCIDIV_4866,D03,NSC,152551
NCIDIV_4866,E03,NSC,153330
NCIDIV_4866,F03,NSC,153365
NCIDIV_4866,G03,NSC,153399
NCIDIV_4866,H03,NSC,154295
NCIDIV_4866,A04,NSC,156616
NCIDIV_4866,B04,NSC,157767
NCIDIV_4866,C04,NSC,157940
NCIDIV_4866,D04,NSC,159031
NCIDIV_4866,E04,NSC,163144
NCIDIV_4866,F04,NSC,164208
NCIDIV_4866,G04,NSC,164511
NCIDIV_4866,H04,NSC,164678
NCIDIV_4866,A05,NSC,165883
NCIDIV_4866,B05,NSC,166583
NCIDIV_4866,C05,NSC,170001
NCIDIV_4866,D05,NSC,170578
NCIDIV_4866,E05,NSC,170621
NCIDIV_4866,F05,NSC,174027
NCIDIV_4866,G05,NSC,175412
NCIDIV_4866,H05,NSC,175415
NCIDIV_4866,A06,NSC,176765
NCIDIV_4866,B06,NSC,177989
NCIDIV_4866,C06,NSC,179818
NCIDIV_4866,D06,NSC,182400
NCIDIV_4866,E06,NSC,190336
NCIDIV_4866,F06,NSC,193043
NCIDIV_4866,G06,NSC,196148
NCIDIV_4866,H06,NSC,197049
NCIDIV_4866,A07,NSC,202883
NCIDIV_4866,B07,NSC,204920
NCIDIV_4866,C07,NSC,204976
NCIDIV_4866,D07,NSC,205843
NCIDIV_4866,E07,NSC,210816
NCIDIV_4866,F07,NSC,215276
NCIDIV_4866,G07,NSC,220030
NCIDIV_4866,H07,NSC,227383
NCIDIV_4866,A08,NSC,234945
NCIDIV_4866,B08,NSC,236246
NCIDIV_4866,C08,NSC,240502
NCIDIV_4866,D08,NSC,255025
NCIDIV_4866,E08,NSC,261037
NCIDIV_4866,F08,NSC,261610
NCIDIV_4866,G08,NSC,274905
NCIDIV_4866,H08,NSC,277806
NCIDIV_4866,A09,NSC,279895
NCIDIV_4866,B09,NSC,282187
NCIDIV_4866,C09,NSC,284234
NCIDIV_4866,D09,NSC,288519
NCIDIV_4866,E09,NSC,289090
NCIDIV_4866,F09,NSC,289365
NCIDIV_4866,G09,NSC,290307
NCIDIV_4866,H09,NSC,292826
NCIDIV_4866,A10,NSC,293334
NCIDIV_4866,B10,NSC,293780
NCIDIV_4866,C10,NSC,294154
NCIDIV_4866,D10,NSC,294623
NCIDIV_4866,E10,NSC,295404
NCIDIV_4866,F10,NSC,298197
NCIDIV_4866,G10,NSC,298793
NCIDIV_4866,H10,NSC,301168
NCIDIV_4866,A11,NSC,309971
NCIDIV_4866,B11,NSC,311074
NCIDIV_4866,C11,NSC,311727
NCIDIV_4866,D11,NSC,319034
NCIDIV_4866,E11,NSC,321506
NCIDIV_4866,F11,NSC,327693
NCIDIV_4866,G11,NSC,329676
NCIDIV_4866,H11,NSC,330497
NCIDIV_4867,A02,NSC,332473
NCIDIV_4867,B02,NSC,335048
NCIDIV_4867,C02,NSC,338106
NCIDIV_4867,D02,NSC,341074
NCIDIV_4867,E02,NSC,343343
NCIDIV_4867,F02,NSC,343344
NCIDIV_4867,G02,NSC,343783
NCIDIV_4867,H02,NSC,353451
NCIDIV_4867,A03,NSC,357683
NCIDIV_4867,B03,NSC,366807
NCIDIV_4867,C03,NSC,367428
NCIDIV_4867,D03,NSC,367487
NCIDIV_4867,E03,NSC,370367
NCIDIV_4867,F03,NSC,372134
NCIDIV_4867,G03,NSC,372221
NCIDIV_4867,H03,NSC,373427
