runid,well,gene,barcode,counts
NS1519_22009,D12,SARS-CoV-1-3CL,2C2,212
NS1519_22009,D12,SARS-CoV-1-3CL,2D2,103
NS1519_22009,D12,SARS-CoV-2-3CL,9E2,973
NS1519_22009,D12,SARS-CoV-2-3CL,1E12,1230
NS1519_22009,D12,SARS-CoV-2-3CL,1G12,935
NS1519_22009,D12,SARS-CoV-2-3CL,1H12,1054
NS1519_22009,D12,SARS-CoV-2-3CL,4E1,708
NS1519_22009,D12,MERS-CoV-3CL,8B4,169
NS1519_22009,D12,MERS-CoV-3CL,8D4,230
NS1519_22009,D12,MERS-CoV-3CL,8F4,125
NS1519_22009,D12,MERS-CoV-3CL,8H4,183
NS1519_22009,D12,MERS-CoV-3CL,8A6,431
NS1519_22009,D12,HCoV-HKU1-3CL,3D10,992
NS1519_22009,D12,HCoV-HKU1-3CL,3E10,920
NS1519_22009,D12,HCoV-HKU1-3CL,3H10,659
NS1519_22009,D12,HCoV-HKU1-3CL,3C11,999
NS1519_22009,D12,HCoV-HKU1-3CL,3D11,786
NS1519_22009,D12,HCoV-OC43-3CL,7G1,464
NS1519_22009,D12,HCoV-OC43-3CL,7H1,644
NS1519_22009,D12,HCoV-OC43-3CL,7A2,865
NS1519_22009,D12,HCoV-OC43-3CL,7B2,378
NS1519_22009,D12,HCoV-OC43-3CL,7D2,492
NS1519_22009,D12,Bat-CoV-HKU4-3CL,7E3,475
NS1519_22009,D12,Bat-CoV-HKU4-3CL,7F3,549
NS1519_22009,D12,Bat-CoV-HKU4-3CL,7G3,765
NS1519_22009,D12,Bat-CoV-HKU4-3CL,7H3,698
NS1519_22009,D12,Bat-CoV-HKU4-3CL,7A4,638
NS1519_22009,D12,Bat-CoV-HKU9-3CL,11D8,76
NS1519_22009,D12,Bat-CoV-HKU9-3CL,11F8,77
NS1519_22009,D12,Bat-CoV-HKU9-3CL,11G8,46
NS1519_22009,D12,Bat-CoV-HKU9-3CL,11H8,20
NS1519_22009,D12,Bat-CoV-HKU9-3CL,11B9,35
NS1519_22009,D12,Bat-SV-CoVZC45-3CL,5C4,522
NS1519_22009,D12,Bat-SV-CoVZC45-3CL,5D4,694
NS1519_22009,D12,Bat-SV-CoVZC45-3CL,5F4,428
NS1519_22009,D12,Bat-SV-CoVZC45-3CL,9D6,435
NS1519_22009,D12,Bat-SV-CoVZC45-3CL,5A5,727
NS1519_22009,D12,Beluga-CoV-SW1,11D2,86
NS1519_22009,D12,Beluga-CoV-SW1,11G2,39
NS1519_22009,D12,Beluga-CoV-SW1,11H2,56
NS1519_22009,D12,Beluga-CoV-SW1,11A3,39
NS1519_22009,D12,Beluga-CoV-SW1,11B3,44
NS1519_22009,D12,HCoV-NL63-PLP2,6H1,406
NS1519_22009,D12,HCoV-NL63-PLP2,6A2,342
NS1519_22009,D12,HCoV-NL63-PLP2,6C2,632
NS1519_22009,D12,HCoV-NL63-PLP2,6E2,372
NS1519_22009,D12,HCoV-NL63-PLP2,6F2,330
NS1519_22009,D12,SARS-CoV-1-PLP,6B4,165
NS1519_22009,D12,SARS-CoV-1-PLP,6C4,310
NS1519_22009,D12,SARS-CoV-1-PLP,6D4,180
